student_id,subject,assignment_name,due_date,status,grade_feedback,guardian_signature
S12002,Science,Record.,2024-09-10,❌,C-,Yes
S01255,History,Head baby.,2024-10-16,❌,A+,No
S04968,Arabic,Keep audience medical free.,2025-02-11, Done ,A+,Yes
S07925,Geography,Three half peace.,2024-10-03, Done ,A+, 
S09980,Geography,Assume particularly.,2024-12-01,✅,B-,No
S08309,Geography,Four from kind dark.,2024-12-19, Done ,A,No
S11121,Math,Analysis late human.,2024-11-10,❌,F,Yes
S00175,Arabic,Shake by.,2024-09-09, Done ,A,No
S02439,Geography,Oil education large wonder.,2025-01-01,✅,C,No
S08144,Math,Never bar time personal.,2024-10-15,❌,A+,No
S08545,Math,Deal music.,,✔,F,No
S00424,History,Sister however.,2024-09-28,✅,B, 
S00568,Math,Range huge.,2025-01-28,✔,A,Yes
S07048,Arabic,Music build check force.,2025-02-01,✅,A+, 
S08771,Science,Strategy.,2025-02-26,❌,A+,Yes
S00004,English,Movement before.,,✔,C-,No
S03421,Science,Strategy family.,,✅,B,Yes
S05678,History,Alone yeah.,, Done ,A+, 
S01051,Geography,Town start industry.,2024-12-05, Done ,B-, 
S08351,Geography,Upon possible.,2024-10-06,✅,A+,Yes
S02892,Geography,All should.,2025-01-13, Done ,B-,No
S11787,History,Deal city.,2024-12-07, Done ,A+,No
S09553,History,Road from open receive.,2025-02-12,✔,A+,No
S00091,Geography,Laugh minute.,,❌,A, 
S05572,Math,Animal live.,2025-01-03,not done,B-,Yes
S03669,Science,Media environmental.,2025-02-11,✅,C-,Yes
S02662,Math,Story.,2024-09-24,pending,B,Yes
S02378,History,Social physical write.,2025-01-27,✔,A+,Yes
S07855,History,Whom care ask.,2025-02-20,❌,C-, 
S10106,Math,Hospital if.,,✅,B, 
S06166,Math,Message seek.,,not done,B, 
S07503,Geography,Scientist relate cover.,,✅,F, 
S09683,Geography,Success within medical.,2025-02-11,✅,C-,Yes
S03110,Geography,Red identify say.,2025-01-04, Done ,B, 
S04766,History,Generation.,,✔,C,No
S11466,Geography,Person job.,2025-01-08,✔,A+,No
S04410,Science,Health general small.,, Done ,D, 
S10067,History,Admit yard.,2024-11-16,not done,B,No
S06923,History,Place.,2025-02-22,pending,F,No
S05866,History,Everybody half fear.,2025-02-13,❌,B-,No
S07087,History,Positive inside.,2025-01-30, Done ,C,Yes
S07161,History,Sure factor.,2024-11-28,pending,C,Yes
S10924,History,Modern like director.,2024-10-24,not done,F,No
S07945,Math,Research prepare computer.,, Done ,B, 
S00187,Science,Foreign.,,✅,D,No
S09910,Math,Mother course.,2025-03-07,✔,F, 
S06993,English,Continue defense whatever.,, Done ,A,Yes
S03451,History,Occur son act.,2024-09-12,pending,A, 
S06188,History,Note line nation.,2024-10-17,❌,A+,Yes
S07794,English,Attention popular nice.,2025-03-07,❌,D, 
S09303,History,Eat toward according.,2024-12-08,✅,A,Yes
S05058,Math,Bring thousand sea.,,not done,C,No
S03048,English,Themselves play adult.,2025-01-30,❌,B-,No
S11320,Geography,Answer.,2025-01-09,✔,A+, 
S11107,Math,Long.,,✅,C-,Yes
S07251,English,Sometimes expert.,,pending,C, 
S05103,Geography,Fear across.,2024-09-12, Done ,D, 
S07306,Geography,Moment.,,not done,A, 
S00828,Science,Station television manager.,2024-10-02,✅,F,No
S02329,Science,Type follow.,2024-09-13, Done ,A+,No
S04045,Science,Behind suddenly truth.,2024-11-02,✔,B-, 
S08571,English,Especially require.,,❌,A, 
S03713,History,Quickly simple.,2024-10-08,✔,A, 
S04784,Math,Read surface determine.,2024-11-21, Done ,B,No
S04006,Arabic,Professional stand.,2025-02-16,✅,D,Yes
S11171,Arabic,Whose save nearly.,,✅,D,Yes
S08040,Math,Company black how.,2025-02-27, Done ,D,Yes
S01574,Science,Radio agency hit.,2024-10-15,✔,A+,Yes
S07756,Math,Well owner place.,2024-09-13,✅,D, 
S01777,Math,Try sing moment.,2024-10-27, Done ,C,No
S06533,English,Theory single.,2025-01-12,pending,A,Yes
S10168,Arabic,Mention prepare.,2024-09-27, Done ,B,Yes
S06215,Arabic,Side service difficult.,2025-01-25,not done,C, 
S06511,Geography,Reality create.,2025-01-24,❌,B-, 
S06224,History,Tough out.,,❌,B-,Yes
S02532,Science,Set capital.,2025-01-31,✔,D,No
S04520,Science,Tonight attention.,2024-10-15,not done,C-,No
S00087,Geography,Their clear team.,2025-01-28,pending,C,No
S05770,Science,What generation current.,2025-02-21,pending,D, 
S09016,Arabic,Floor woman.,2024-11-26, Done ,B-, 
S12111,Arabic,Relate.,,❌,C-, 
S11555,Math,Feel may speak.,2024-09-20, Done ,B,No
S02282,Geography,Agent child.,2024-11-18,✅,D, 
S01153,History,Thousand hour.,,✔,B,Yes
S01856,Arabic,Leave popular.,,✅,C,No
S06708,Science,Project everybody fly.,2025-03-03,✅,C-,No
S01043,Arabic,Apply rule present.,2025-01-23,❌,A,Yes
S09501,History,Administration race.,2024-12-25,❌,A,Yes
S09150,Math,Start make.,, Done ,A+, 
S00985,English,Sound serve.,2024-12-02,✅,C-,Yes
S04485,Geography,Report.,2025-02-26,pending,C-,Yes
S05960,Science,Owner national.,2024-11-23,not done,C-,No
S00219,History,Various glass.,2024-10-27,not done,A+,No
S10285,Science,Between plant.,2024-11-27,❌,D, 
S07872,English,Soon when less this.,2024-12-25, Done ,C-, 
S03670,Math,Continue.,2024-10-24,✔,C-,No
S02486,Math,High.,2025-02-18,❌,A+, 
S06554,English,Its center machine.,2024-09-28,✔,B-,No
S01349,Arabic,Between.,2025-01-20,not done,F,No
S06486,Science,Say current provide.,2024-12-12,pending,D,No
S00601,Geography,Choice coach.,,❌,B,Yes
S00330,English,Start single.,,✔,C, 
S03120,Math,Much current class any.,2025-02-01,pending,C-, 
S10266,Science,Task situation.,2025-01-31,✔,C, 
S10471,Science,Responsibility century.,2024-09-23,❌,F, 
S08021,Math,Medical charge.,2024-12-09, Done ,D, 
S07736,English,War sister.,2024-09-22,✔,B, 
S07659,Science,Of environment.,2025-01-19,✔,A+,Yes
S09863,History,Wall around popular.,2024-09-17, Done ,A+, 
S07273,English,So.,2025-02-06,✔,A+, 
S10920,Science,South least.,,not done,C,No
S05796,English,Because north administration.,2024-11-23,❌,B-,Yes
S06259,English,Attack turn.,2024-09-22, Done ,D,No
S05122,Geography,Culture may remember.,2025-01-04,not done,A,No
S10172,Arabic,Standard.,2025-01-25, Done ,A,Yes
S03138,History,Guess direction.,2024-12-25,pending,D,Yes
S07726,Math,May if.,2024-11-23, Done ,C-,Yes
S06642,Math,Nation establish.,2024-10-16,pending,A,Yes
S05811,Geography,Finally question rate.,,✅,B,No
S06638,Arabic,Air two.,,not done,C-, 
S06909,Math,Have skin.,2024-12-31,not done,B-,Yes
S10341,English,Writer teach follow.,2025-01-13, Done ,A+, 
S09572,History,From plan something.,2025-03-01,✅,B,Yes
S05178,History,Past sing.,2024-09-20,✅,A+,No
S09258,Geography,Law carry stage.,, Done ,D,No
S09268,Math,Religious student hot.,2024-09-29,✔,C,No
S03447,Science,Pick police and.,2024-10-25,pending,A,No
S01530,Math,Through wear.,, Done ,A+,Yes
S07544,Math,Be memory TV.,2024-09-11,not done,C,No
S06996,Math,Significant expect.,2024-11-09,pending,A+,Yes
S06032,Arabic,Low another western.,2024-12-15,✅,A+, 
S03303,English,Fill they we.,,pending,A,No
S03099,Science,Health top.,2024-12-05,pending,D, 
S07216,Math,Shoulder exist network.,2024-12-18,pending,A+, 
S04062,Math,Event he thousand alone.,2025-03-03, Done ,D, 
S07816,Science,Join close.,2024-10-22,not done,A,Yes
S04470,English,Lay maybe.,,❌,D, 
S02370,Math,Call manage difference seem.,2025-02-24,✔,A, 
S08804,Geography,Reduce region hold.,2025-02-07,pending,D,Yes
S02581,History,Section sing.,2024-12-25,pending,C-,Yes
S06156,Geography,Per hour.,2025-02-06,✔,B-,Yes
S06549,Science,Member without.,,not done,B, 
S09864,Arabic,Safe state.,2024-11-29,not done,D, 
S09007,Geography,Movement task.,2024-09-14,pending,C-, 
S08276,Geography,Position hotel politics.,2024-12-31,❌,B-, 
S07650,English,Return national.,2024-12-01,pending,C,No
S08249,Geography,Pick rule source point.,2025-02-05,not done,B-, 
S06365,Geography,Clear writer skin.,2025-02-14,pending,F,No
S09777,Math,History rate.,2024-12-20,not done,C-,Yes
S03956,Science,Control.,,❌,F,No
S01771,History,Either interview.,,pending,C,Yes
S06247,Science,Environment beyond production early.,2024-12-21,✅,F, 
S10620,History,Exactly away yard.,2025-01-14,✅,D,Yes
S05935,Geography,Similar.,2025-01-18, Done ,A,Yes
S06837,Science,Significant purpose draw.,2024-11-25,✔,A, 
S09908,History,Necessary worker population.,2024-10-28,❌,D,Yes
S07199,Science,Smile time mother.,2025-02-23,not done,B,No
S07449,Math,Agency guy.,2024-11-11,✔,B-,Yes
S02318,Math,Difficult stand article deep.,2024-12-08,❌,C,Yes
S04706,Geography,Teach open.,2024-11-14,pending,F,Yes
S08593,Science,Design their happy treatment.,2025-02-24,✔,B,No
S06267,Geography,Office.,2024-11-10,pending,B-,No
S03757,Math,Ok each.,,not done,D, 
S03985,English,Green somebody.,2025-02-27,❌,B-,Yes
S04322,Arabic,Century public.,2025-02-16,pending,B-,Yes
S01487,Math,Measure their piece.,2024-10-31,not done,A,No
S07854,Geography,Late many eight.,2025-01-05,✔,D,No
S06182,Arabic,Wall spring tend.,,❌,C, 
S01367,English,Along spring.,2025-02-22,✔,C, 
S01302,English,Rule personal short.,2024-09-16,✔,A+,Yes
S07532,History,Challenge operation husband.,2024-11-16,❌,B,Yes
S11652,Geography,Create public especially.,2025-01-10,not done,F,No
S07760,English,List agreement.,2025-01-20,✅,C,No
S07351,Geography,Language position skin.,2024-09-23,❌,A, 
S04812,English,Who first.,2025-03-06, Done ,A,No
S05768,Geography,Body relate international.,2025-02-07,❌,B-,No
S08813,Math,Door foreign each military.,2024-09-28,pending,B,Yes
S00156,English,Now local carry.,2024-11-18,✔,A, 
S11510,Arabic,Play heart admit guess.,,❌,C,Yes
S08528,History,Tv.,2025-03-01,not done,B,No
S06671,History,Nation deep.,2024-12-16,✅,C-,No
S09013,Arabic,Right image.,2024-09-20,pending,C,No
S11993,Math,Mouth account.,2024-10-08,pending,A+, 
S04264,Geography,Energy believe happy.,2024-09-16,❌,A,No
S02414,Math,Not create.,,pending,B,Yes
S06115,Science,Sister themselves.,2024-09-21,❌,D, 
S04064,English,Type somebody different.,2025-03-09,✔,F, 
S00753,History,There fill.,, Done ,A,Yes
S02102,English,According animal much.,2025-01-17,not done,A, 
S08949,Math,Buy likely.,2025-01-20, Done ,B,No
S00765,Arabic,Leg one.,,not done,A+, 
S02434,Science,Avoid town thought.,2024-09-23, Done ,C,Yes
S07862,Math,Economic quality.,, Done ,B,No
S10130,English,Kitchen perhaps focus.,2024-11-21,pending,D, 
S00888,Science,Safe lay.,2024-10-26,not done,C,No
S02863,Science,Ahead response cup season.,2024-11-08,✔,C,No
S01326,Science,In all group.,2025-01-14, Done ,B-,Yes
S05779,English,Able meet recently save.,2024-12-04, Done ,A,No
S02711,Geography,Available response.,2024-10-25,pending,B-, 
S03060,Math,Subject responsibility.,2025-02-28, Done ,F, 
S08179,English,Make reveal.,2024-12-27,pending,F,Yes
S02041,English,Term.,2025-01-27,pending,C-,No
S01984,Science,Present soldier fight.,2024-12-10,✅,F,Yes
S10239,Arabic,Large I.,2024-10-25, Done ,B-,No
S05405,Arabic,From entire role.,2024-11-02,✅,C-,Yes
S06014,Math,Section.,2024-11-21, Done ,C-,Yes
S03735,Science,Future back.,2025-01-21,✔,A,No
S10593,English,Anyone girl ago.,,pending,C,No
S07950,Arabic,So condition firm.,2024-12-28, Done ,A+,Yes
S11259,Geography,Only more.,2024-12-10,✅,C, 
S04675,Science,Past civil four.,2025-02-01,not done,A,No
S03885,English,Likely go.,2024-09-14,✔,A,No
S01911,Math,Writer expect.,2025-03-06,✔,A+, 
S07387,English,Quite save.,2025-01-14,✔,C, 
S01460,Math,Certain.,2024-09-08, Done ,C,Yes
S07904,History,Human weight.,, Done ,D, 
S11262,Geography,Quite skin seek.,2025-01-22,not done,B, 
S01350,English,Month address once.,2025-03-09,not done,B, 
S03489,Arabic,Herself institution a.,2024-10-23,❌,C,Yes
S00679,Arabic,Find.,, Done ,A+,Yes
S05429,Science,Produce free.,2024-09-10, Done ,C, 
S04644,History,Almost important.,2024-12-07,pending,A,No
S02262,History,Carry series.,2024-12-11,✅,B,No
S01037,Science,Tv send.,2024-10-27,❌,C, 
S10538,History,White stage.,2024-11-03,not done,C,No
S06412,Geography,Difference job heart.,2024-12-16,pending,A,Yes
S01837,Math,Process budget.,2024-10-05,pending,B,No
S09870,Arabic,Try subject.,2025-02-06,❌,B, 
S03368,English,Military under.,2024-09-27, Done ,D,No
S05853,English,Anything attention.,,✔,F,No
S09113,Math,Director care black.,2025-01-28,✅,B-,Yes
S02874,Geography,Effort what fill letter.,2025-02-10,not done,D,No
S06709,Science,Clear loss own.,2025-02-13,✔,B-,No
S07486,Arabic,Job civil pressure.,2025-02-08,not done,C, 
S07232,Arabic,High serve.,,❌,B,No
S02407,Geography,Develop term.,2024-10-18,not done,F,Yes
S01186,Geography,Style subject.,, Done ,C,Yes
S11119,History,Join yeah statement.,2024-11-20,✅,A+, 
S05761,Arabic,Claim budget.,2024-09-29,✅,B-, 
S11449,Science,Respond keep church.,2025-01-21,✅,A+,Yes
S06760,English,Produce provide former discover.,2024-12-18,✅,B,Yes
S01039,Math,Writer land.,2025-02-10,✔,F,No
S02745,Math,Forget police.,2025-01-28,not done,B-, 
S04016,Arabic,Sea deal sea.,2024-12-04, Done ,D,Yes
S08929,Science,Make prove spend compare.,2025-03-07,✔,C-, 
S01108,Science,Tend reason authority.,2025-01-19,✅,F, 
S00706,Arabic,Operation expect.,2024-12-02,✔,B-,No
S09524,Arabic,Lawyer social economic.,2024-11-06,❌,F,No
S02886,History,Hospital two.,2024-11-27, Done ,D,Yes
S08413,Science,Receive window.,2024-09-10,✔,C-, 
S00531,Math,Fill fact challenge.,2024-12-19,❌,F,Yes
S00869,Geography,Sing worry share.,2024-11-17,pending,B-, 
S03223,Science,Occur.,,✔,A+, 
S10609,Math,Top born center.,2025-03-07, Done ,C-, 
S00736,Geography,Thousand key.,2025-01-20,not done,F, 
S10599,Geography,Fall tonight.,, Done ,F, 
S05773,History,Career professional.,2024-12-30,❌,A+,No
S03079,Science,After whom.,2024-09-17,not done,A+,No
S06460,Arabic,She cut.,2024-11-06,✅,B,No
S02286,English,Building role woman.,2024-10-23,✅,F,Yes
S03558,Geography,Both though involve.,2025-02-15,not done,B, 
S04555,English,Skill certainly task.,2025-01-31, Done ,A, 
S05138,History,Certainly world perhaps.,2025-01-20,not done,C-,No
S09536,English,His long stay action.,,✔,D, 
S04734,English,Smile seven.,2024-11-26,✅,F,Yes
S09624,History,Mrs ever fight.,2025-02-23, Done ,D,No
S08816,History,Accept need.,2025-02-21,❌,C,Yes
S08185,Science,Service so.,2024-09-28,✔,B, 
S09909,English,Reality coach still.,2024-11-24,not done,C,No
S07383,Math,To point mouth.,,❌,C,No
S07304,Math,Girl pressure.,2025-02-10,✔,A+,No
S08104,English,Brother rest paper.,2025-01-04,❌,B-, 
S02836,English,Democrat none.,2024-10-07,pending,B,Yes
S01046,Arabic,Director theory new.,,✅,B, 
S00290,Arabic,Offer back race.,2024-10-06,✅,C-,No
