grade_level,age,attendance_rate,hw_done_rate,avg_score,attendance_pct,homework_completion,class_participation,engagement_index,stress_level,coping_score,sleep_hours,resilience_score,attendance_cat,engage_x_resilience,target_pass
Grade 3,18.0,0.0,1.0,-0.0059772888458727,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,1
Grade 5,10.0,1.0,0.0,1.7418559155286888,1.7347146245120673,0.0,0.5,0.8574366841004954,50,50,50,0.0,High,30.0,1
Grade 3,8.0,0.0,1.0,-0.4429355899395131,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,0
Grade 5,13.0,0.0,1.0,-0.6926260477073076,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,0
Grade 3,13.0,1.0,1.0,0.3061357833638704,1.7347146245120673,1.0,0.5,1.9901662981478376,50,50,50,0.0,High,45.0,1
Grade 2,8.0,0.0,0.0,0.5558262411316649,-0.5764636937221163,0.0,0.5,-1.0304460059784075,50,50,50,0.0,Low,5.0,1
Grade 4,15.0,0.0,1.0,1.8042785299706372,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,1
Grade 1,14.0,0.0,0.0,-0.0059772888458727,-0.5764636937221163,0.0,0.5,-1.0304460059784075,50,50,50,0.0,Low,5.0,1
Grade 4,18.0,1.0,0.0,1.180052385551151,1.7347146245120673,0.0,0.5,0.8574366841004954,50,50,50,0.0,High,30.0,1
Grade 4,13.0,0.0,0.0,-1.6289652643365369,-0.5764636937221163,0.0,0.5,-1.0304460059784075,50,50,50,0.0,Low,5.0,0
Grade 1,17.0,0.0,1.0,-0.0059772888458727,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,1
Grade 1,9.0,0.0,1.0,-0.2556677466136672,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,0
Grade 2,17.0,0.0,0.0,-0.5053582043814617,-0.5764636937221163,0.0,0.5,-1.0304460059784075,50,50,50,0.0,Low,5.0,0
Grade 4,19.0,0.0,1.0,-0.0059772888458727,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,1
Grade 2,19.0,1.0,1.0,1.4297428433189456,1.7347146245120673,1.0,0.5,1.9901662981478376,50,50,50,0.0,High,45.0,1
Grade 3,18.0,0.0,0.0,-0.630203433265359,-0.5764636937221163,0.0,0.5,-1.0304460059784075,50,50,50,0.0,Low,5.0,0
Grade 2,10.0,0.0,1.0,-1.3792748065687426,-0.5764636937221163,1.0,0.5,0.1022836080689343,50,50,50,0.0,Low,20.0,0
Grade 1,17.0,1.0,0.0,-1.0671617343589994,1.7347146245120673,0.0,0.5,0.8574366841004954,50,50,50,0.0,High,30.0,0
