feature,perm_mean,perm_std
age,-0.0016558050548054388,0.010630772770351682
grade_level_Grade 4,-0.004285969948587339,0.0033164332477396237
grade_level_Grade 2,-0.005222265198131293,0.002459951211436066
hw_done_rate,-0.006295545427131094,0.0036676126905078547
attendance_cat_Low,-0.006462363031952745,0.0025419637159491853
attendance_rate,-0.008281224165896967,0.00346286303352385
attendance_cat_High,-0.008576885459080086,0.0033788781760126325
attendance_pct,-0.008737152497762088,0.0030962604975759774
homework_completion,-0.010493465688982573,0.004079886528397659
grade_level_Grade 1,-0.013082942468398131,0.004304825815574579
engagement_index,-0.013250849750904218,0.00400053616469196
engage_x_resilience,-0.016124946951579355,0.004110078424945954
grade_level_Grade 3,-0.016179649797472856,0.003862757060678532
grade_level_Grade 5,-0.017641564539134486,0.004560304421347217
