feature,importance
age,0.8544834122008452
grade_level_Grade 4,0.021095508797630662
grade_level_Grade 5,0.02098022760683431
grade_level_Grade 1,0.02055629015058473
grade_level_Grade 3,0.020016974344286363
grade_level_Grade 2,0.01848901449253434
engagement_index,0.009898616567286304
engage_x_resilience,0.009763888097335095
hw_done_rate,0.006781289253758637
homework_completion,0.006377484769952794
attendance_cat_High,0.003074290824101107
attendance_rate,0.0030295898967205074
attendance_cat_Low,0.0029171004866119436
attendance_pct,0.0025363125115179705
